ID,SKU,Product Name,Category,Regular Price SAR,Sale Price SAR,Supplier Rank,Supplier Name,Supplier Type,Supplier Search URL,Supplier Buy URL,Supplier Price,Currency,Price Source,Notes
42,GC-SW-ACC1,Adobe Creative Cloud 1 Year,Gift Cards & Software Keys,2499,1999,1,AliExpress,Marketplace supplier search,https://www.aliexpress.com/wholesale?SearchText=Adobe+Creative+Cloud+1+Year,,,USD,Needs supplier verification,"Match exact product manually, then fill Buy URL and Supplier Price."
42,GC-SW-ACC1,Adobe Creative Cloud 1 Year,Gift Cards & Software Keys,2499,1999,2,Alibaba,B2B supplier search,https://www.alibaba.com/trade/search?SearchText=Adobe+Creative+Cloud+1+Year,,,USD,Needs supplier verification,"Check MOQ, shipping terms, and verified supplier status before buying."
42,GC-SW-ACC1,Adobe Creative Cloud 1 Year,Gift Cards & Software Keys,2499,1999,3,Amazon.sa,Local market reference / supplier option,https://www.amazon.sa/s?k=Adobe+Creative+Cloud+1+Year,,,SAR,Needs supplier verification,Uses existing Amazon reference URL and price when the workbook has them.
42,GC-SW-ACC1,Adobe Creative Cloud 1 Year,Gift Cards & Software Keys,2499,1999,4,Noon,Local market reference / supplier option,https://www.noon.com/saudi-en/search/?q=Adobe+Creative+Cloud+1+Year,,,SAR,Needs supplier verification,"Verify seller rating, warranty, and marketplace fulfillment before buying."
42,GC-SW-ACC1,Adobe Creative Cloud 1 Year,Gift Cards & Software Keys,2499,1999,5,B&H Photo,US retailer / distributor search,https://www.bhphotovideo.com/c/search?Ntt=Adobe+Creative+Cloud+1+Year&N=0&InitialSearch=yes&sts=ma,,,USD,Needs supplier verification,"Best for cameras, networking, creators, and computer hardware."
43,GC-SW-KTS1,Kaspersky Total Security 1 Year,Gift Cards & Software Keys,149,119,1,AliExpress,Marketplace supplier search,https://www.aliexpress.com/wholesale?SearchText=Kaspersky+Total+Security+1+Year,,,USD,Needs supplier verification,"Match exact product manually, then fill Buy URL and Supplier Price."
43,GC-SW-KTS1,Kaspersky Total Security 1 Year,Gift Cards & Software Keys,149,119,2,Alibaba,B2B supplier search,https://www.alibaba.com/trade/search?SearchText=Kaspersky+Total+Security+1+Year,,,USD,Needs supplier verification,"Check MOQ, shipping terms, and verified supplier status before buying."
43,GC-SW-KTS1,Kaspersky Total Security 1 Year,Gift Cards & Software Keys,149,119,3,Amazon.sa,Local market reference / supplier option,https://www.amazon.sa/s?k=Kaspersky+Total+Security+1+Year,,,SAR,Needs supplier verification,Uses existing Amazon reference URL and price when the workbook has them.
43,GC-SW-KTS1,Kaspersky Total Security 1 Year,Gift Cards & Software Keys,149,119,4,Noon,Local market reference / supplier option,https://www.noon.com/saudi-en/search/?q=Kaspersky+Total+Security+1+Year,,,SAR,Needs supplier verification,"Verify seller rating, warranty, and marketplace fulfillment before buying."
43,GC-SW-KTS1,Kaspersky Total Security 1 Year,Gift Cards & Software Keys,149,119,5,B&H Photo,US retailer / distributor search,https://www.bhphotovideo.com/c/search?Ntt=Kaspersky+Total+Security+1+Year&N=0&InitialSearch=yes&sts=ma,,,USD,Needs supplier verification,"Best for cameras, networking, creators, and computer hardware."
44,GC-APL-100,Apple Gift Card $100,Gift Cards & Software Keys,389,,1,AliExpress,Marketplace supplier search,https://www.aliexpress.com/wholesale?SearchText=Apple+Gift+Card+%24100,,,USD,Needs supplier verification,"Match exact product manually, then fill Buy URL and Supplier Price."
44,GC-APL-100,Apple Gift Card $100,Gift Cards & Software Keys,389,,2,Alibaba,B2B supplier search,https://www.alibaba.com/trade/search?SearchText=Apple+Gift+Card+%24100,,,USD,Needs supplier verification,"Check MOQ, shipping terms, and verified supplier status before buying."
44,GC-APL-100,Apple Gift Card $100,Gift Cards & Software Keys,389,,3,Amazon.sa,Local market reference / supplier option,https://www.amazon.sa/s?k=Apple+Gift+Card+%24100,,,SAR,Needs supplier verification,Uses existing Amazon reference URL and price when the workbook has them.
