ID,SKU,Name,Regular price,Sale price,Categories,Product ID URL,Add to cart URL,Cart buy URL,Checkout buy URL
54,GM-CMP-NZX-001,NZXT H9 Elite Mid-Tower ATX Case,1349,,Hardware,https://neogen.store/?p=54,https://neogen.store/?add-to-cart=54,https://neogen.store/cart/?add-to-cart=54&quantity=1,https://neogen.store/checkout/?add-to-cart=54&quantity=1
55,GM-CMP-COR-001,Corsair iCUE H150i RGB Elite (360mm AIO),1149,,Hardware,https://neogen.store/?p=55,https://neogen.store/?add-to-cart=55,https://neogen.store/cart/?add-to-cart=55&quantity=1,https://neogen.store/checkout/?add-to-cart=55&quantity=1
56,GM-GPU-GIG-001,Gigabyte AORUS RTX 5090 Master 32GB,27999,,Hardware,https://neogen.store/?p=56,https://neogen.store/?add-to-cart=56,https://neogen.store/cart/?add-to-cart=56&quantity=1,https://neogen.store/checkout/?add-to-cart=56&quantity=1
57,GM-GPU-NVD-002,NVIDIA RTX 5080 Founders Edition (16GB),6499,,Hardware,https://neogen.store/?p=57,https://neogen.store/?add-to-cart=57,https://neogen.store/cart/?add-to-cart=57&quantity=1,https://neogen.store/checkout/?add-to-cart=57&quantity=1
58,GM-GPU-NVD-001,NVIDIA RTX 5090 Founders Edition (32GB),26449,22999,Hardware,https://neogen.store/?p=58,https://neogen.store/?add-to-cart=58,https://neogen.store/cart/?add-to-cart=58&quantity=1,https://neogen.store/checkout/?add-to-cart=58&quantity=1
84,NT-MPC-DEL-001,Dell OptiPlex 7070 Micro (Refurb),1610,,Homelab,https://neogen.store/?p=84,https://neogen.store/?add-to-cart=84,https://neogen.store/cart/?add-to-cart=84&quantity=1,https://neogen.store/checkout/?add-to-cart=84&quantity=1
85,NT-MPC-BLK-002,Beelink EQ12 (Intel N100),999,,Homelab,https://neogen.store/?p=85,https://neogen.store/?add-to-cart=85,https://neogen.store/cart/?add-to-cart=85&quantity=1,https://neogen.store/checkout/?add-to-cart=85&quantity=1
86,NT-MPC-BLK-001,Beelink SER7 (Ryzen 7 7735HS),2399,,Homelab,https://neogen.store/?p=86,https://neogen.store/?add-to-cart=86,https://neogen.store/cart/?add-to-cart=86&quantity=1,https://neogen.store/checkout/?add-to-cart=86&quantity=1
87,NT-MPC-MNF-001,MinisForum MS-01 (Homelab Server),4599,3999,Homelab,https://neogen.store/?p=87,https://neogen.store/?add-to-cart=87,https://neogen.store/cart/?add-to-cart=87&quantity=1,https://neogen.store/checkout/?add-to-cart=87&quantity=1
88,NT-POE-TPL-001,TP-Link TL-SG1005P 5-Port PoE,299,,Networking,https://neogen.store/?p=88,https://neogen.store/?add-to-cart=88,https://neogen.store/cart/?add-to-cart=88&quantity=1,https://neogen.store/checkout/?add-to-cart=88&quantity=1
89,NT-POE-UBQ-001,Ubiquiti USW-Lite-8-PoE,849,,Networking,https://neogen.store/?p=89,https://neogen.store/?add-to-cart=89,https://neogen.store/cart/?add-to-cart=89&quantity=1,https://neogen.store/checkout/?add-to-cart=89&quantity=1
90,NT-KVM-ATN-001,ATEN CS1924M 4-Port DP KVM,2399,,Homelab,https://neogen.store/?p=90,https://neogen.store/?add-to-cart=90,https://neogen.store/cart/?add-to-cart=90&quantity=1,https://neogen.store/checkout/?add-to-cart=90&quantity=1
91,NT-KVM-TES-001,TESmart HKS0401A1U 4-Port HDMI KVM,689,599,Homelab,https://neogen.store/?p=91,https://neogen.store/?add-to-cart=91,https://neogen.store/cart/?add-to-cart=91&quantity=1,https://neogen.store/checkout/?add-to-cart=91&quantity=1
92,NT-FWL-FTN-001,Fortinet FortiGate 60F,6329,5499,Homelab,https://neogen.store/?p=92,https://neogen.store/?add-to-cart=92,https://neogen.store/cart/?add-to-cart=92&quantity=1,https://neogen.store/checkout/?add-to-cart=92&quantity=1
93,NT-FWL-NGT-002,Netgate 2100 MAX pfSense+ Gateway,2740,,Homelab,https://neogen.store/?p=93,https://neogen.store/?add-to-cart=93,https://neogen.store/cart/?add-to-cart=93&quantity=1,https://neogen.store/checkout/?add-to-cart=93&quantity=1
94,NT-FWL-NGT-001,Netgate 4200 MAX pfSense+ Gateway,3399,,Homelab,https://neogen.store/?p=94,https://neogen.store/?add-to-cart=94,https://neogen.store/cart/?add-to-cart=94&quantity=1,https://neogen.store/checkout/?add-to-cart=94&quantity=1
95,NT-CBL-GEN-001,Cat6a Shielded Bulk Cable (305m),740,,Networking,https://neogen.store/?p=95,https://neogen.store/?add-to-cart=95,https://neogen.store/cart/?add-to-cart=95&quantity=1,https://neogen.store/checkout/?add-to-cart=95&quantity=1
96,NT-CBL-FSC-001,10G SFP+ DAC Twinax Cable (1m),80,,Networking,https://neogen.store/?p=96,https://neogen.store/?add-to-cart=96,https://neogen.store/cart/?add-to-cart=96&quantity=1,https://neogen.store/checkout/?add-to-cart=96&quantity=1
97,NT-SFP-FSC-001,FS.com 10GBASE-SR SFP+ Transceiver,129,,Networking,https://neogen.store/?p=97,https://neogen.store/?add-to-cart=97,https://neogen.store/cart/?add-to-cart=97&quantity=1,https://neogen.store/checkout/?add-to-cart=97&quantity=1
98,NT-SRV-NVP-001,NavePoint 1U Cantilever Rack Shelf,249,,Homelab,https://neogen.store/?p=98,https://neogen.store/?add-to-cart=98,https://neogen.store/cart/?add-to-cart=98&quantity=1,https://neogen.store/checkout/?add-to-cart=98&quantity=1
99,NT-SRV-CBM-001,Cable Matters 24-Port Cat6 Patch Panel (1U),239,,Homelab,https://neogen.store/?p=99,https://neogen.store/?add-to-cart=99,https://neogen.store/cart/?add-to-cart=99&quantity=1,https://neogen.store/checkout/?add-to-cart=99&quantity=1
100,NT-SRV-STC-001,StarTech RK12WALLOA 12U Wall-Mount Rack,1399,,Homelab,https://neogen.store/?p=100,https://neogen.store/?add-to-cart=100,https://neogen.store/cart/?add-to-cart=100&quantity=1,https://neogen.store/checkout/?add-to-cart=100&quantity=1
101,NT-UPS-APC-002,APC Back-UPS Pro BX1500M (Tower),1839,1599,Homelab,https://neogen.store/?p=101,https://neogen.store/?add-to-cart=101,https://neogen.store/cart/?add-to-cart=101&quantity=1,https://neogen.store/checkout/?add-to-cart=101&quantity=1
102,NT-UPS-CYB-001,CyberPower OR1500LCDRM1U (1500VA 1U),2419,2099,Homelab,https://neogen.store/?p=102,https://neogen.store/?add-to-cart=102,https://neogen.store/cart/?add-to-cart=102&quantity=1,https://neogen.store/checkout/?add-to-cart=102&quantity=1
103,NT-UPS-APC-001,APC Smart-UPS SMT1500RM2UC (1500VA Rack),4899,,Homelab,https://neogen.store/?p=103,https://neogen.store/?add-to-cart=103,https://neogen.store/cart/?add-to-cart=103&quantity=1,https://neogen.store/checkout/?add-to-cart=103&quantity=1
104,NT-NAS-QNP-002,QNAP TS-262-4G (2-Bay),1899,,Homelab,https://neogen.store/?p=104,https://neogen.store/?add-to-cart=104,https://neogen.store/cart/?add-to-cart=104&quantity=1,https://neogen.store/checkout/?add-to-cart=104&quantity=1
105,NT-NAS-QNP-001,QNAP TS-464-8G (4-Bay),2799,,Homelab,https://neogen.store/?p=105,https://neogen.store/?add-to-cart=105,https://neogen.store/cart/?add-to-cart=105&quantity=1,https://neogen.store/checkout/?add-to-cart=105&quantity=1
106,NT-NAS-SYN-002,Synology DS925+ (4-Bay),3499,,Homelab,https://neogen.store/?p=106,https://neogen.store/?add-to-cart=106,https://neogen.store/cart/?add-to-cart=106&quantity=1,https://neogen.store/checkout/?add-to-cart=106&quantity=1
107,NT-NAS-SYN-001,Synology DS225+ (2-Bay),2419,2099,Homelab,https://neogen.store/?p=107,https://neogen.store/?add-to-cart=107,https://neogen.store/cart/?add-to-cart=107&quantity=1,https://neogen.store/checkout/?add-to-cart=107&quantity=1
108,NT-WAP-TPL-002,TP-Link Omada EAP650,919,799,Networking,https://neogen.store/?p=108,https://neogen.store/?add-to-cart=108,https://neogen.store/cart/?add-to-cart=108&quantity=1,https://neogen.store/checkout/?add-to-cart=108&quantity=1
109,NT-WAP-TPL-001,TP-Link Omada EAP610,689,599,Networking,https://neogen.store/?p=109,https://neogen.store/?add-to-cart=109,https://neogen.store/cart/?add-to-cart=109&quantity=1,https://neogen.store/checkout/?add-to-cart=109&quantity=1
110,NT-WAP-UBQ-002,Ubiquiti UniFi U7 Pro,1609,1399,Networking,https://neogen.store/?p=110,https://neogen.store/?add-to-cart=110,https://neogen.store/cart/?add-to-cart=110&quantity=1,https://neogen.store/checkout/?add-to-cart=110&quantity=1
111,NT-WAP-UBQ-001,Ubiquiti UniFi U6 Pro,910,,Networking,https://neogen.store/?p=111,https://neogen.store/?add-to-cart=111,https://neogen.store/cart/?add-to-cart=111&quantity=1,https://neogen.store/checkout/?add-to-cart=111&quantity=1
112,NT-NET-UBQ-001,Ubiquiti USW-Pro-24-PoE,2370,,Networking,https://neogen.store/?p=112,https://neogen.store/?add-to-cart=112,https://neogen.store/cart/?add-to-cart=112&quantity=1,https://neogen.store/checkout/?add-to-cart=112&quantity=1
113,NT-NET-MKT-004,MikroTik CRS312-4C+8XG-RM,2799,,Networking,https://neogen.store/?p=113,https://neogen.store/?add-to-cart=113,https://neogen.store/cart/?add-to-cart=113&quantity=1,https://neogen.store/checkout/?add-to-cart=113&quantity=1
114,NT-NET-MKT-003,MikroTik CRS328-24P-4S+RM (PoE),3109,2699,Networking,https://neogen.store/?p=114,https://neogen.store/?add-to-cart=114,https://neogen.store/cart/?add-to-cart=114&quantity=1,https://neogen.store/checkout/?add-to-cart=114&quantity=1
115,NT-NET-MKT-002,MikroTik CRS326-24G-2S+RM,1199,,Networking,https://neogen.store/?p=115,https://neogen.store/?add-to-cart=115,https://neogen.store/cart/?add-to-cart=115&quantity=1,https://neogen.store/checkout/?add-to-cart=115&quantity=1
116,NT-NET-MKT-001,MikroTik CRS305-1G-4S+IN,999,,Networking,https://neogen.store/?p=116,https://neogen.store/?add-to-cart=116,https://neogen.store/cart/?add-to-cart=116&quantity=1,https://neogen.store/checkout/?add-to-cart=116&quantity=1
117,SH-SWB-SWBT-003,SwitchBot Blind Tilt,479,,Smart Home & IoT,https://neogen.store/?p=117,https://neogen.store/?add-to-cart=117,https://neogen.store/cart/?add-to-cart=117&quantity=1,https://neogen.store/checkout/?add-to-cart=117&quantity=1
